epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,2.4811246395111084,,,,,
0,99,,1.9554634094238281,,,,,
0,149,,1.2138134241104126,,,,,
0,199,,1.5905054807662964,,,,,
0,249,,0.9871696829795837,,,,,
0,299,,1.3999079465866089,,,,,
0,349,,1.4872612953186035,,,,,
0,361,,,0.1666666716337204,0.1666666716337204,0.40824830532073975,0.3333333432674408,0.1666678935289383
0,361,1.5194624662399292,,,,,,
1,399,,1.3011703491210938,,,,,
1,449,,1.6625380516052246,,,,,
1,499,,2.041628837585449,,,,,
1,549,,1.532447338104248,,,,,
1,599,,1.3086609840393066,,,,,
1,649,,1.5953530073165894,,,,,
1,699,,2.0900046825408936,,,,,
1,723,,,0.1666666716337204,0.16666680574417114,0.40824830532073975,0.3333336114883423,0.16653507947921753
1,723,1.4717525243759155,,,,,,
2,749,,2.378678798675537,,,,,
2,799,,0.9219987988471985,,,,,
2,849,,2.2857072353363037,,,,,
2,899,,1.7238129377365112,,,,,
2,949,,1.6973289251327515,,,,,
2,999,,1.8137544393539429,,,,,
2,1049,,1.5538967847824097,,,,,
2,1085,,,0.1666666716337204,0.16667379438877106,0.40824830532073975,0.3333475887775421,0.16666661202907562
2,1085,1.4694784879684448,,,,,,
3,1099,,1.7732276916503906,,,,,
3,1149,,1.2884272336959839,,,,,
3,1199,,1.1054936647415161,,,,,
3,1249,,2.027540445327759,,,,,
3,1299,,1.098702311515808,,,,,
3,1349,,2.0098342895507812,,,,,
3,1399,,1.068205714225769,,,,,
3,1447,,,0.1666666716337204,0.16666744649410248,0.40824830532073975,0.33333489298820496,0.14861513674259186
3,1447,1.4947848320007324,,,,,,
4,1449,,1.4565526247024536,,,,,
4,1499,,1.7124468088150024,,,,,
4,1549,,1.6951853036880493,,,,,
4,1599,,1.6873031854629517,,,,,
4,1649,,1.6621694564819336,,,,,
4,1699,,0.9899502992630005,,,,,
4,1749,,1.0434296131134033,,,,,
4,1799,,1.3137685060501099,,,,,
4,1809,,,0.1666666716337204,0.16667337715625763,0.40824830532073975,0.33334675431251526,0.14105677604675293
4,1809,1.4917707443237305,,,,,,
5,1849,,0.730679988861084,,,,,
5,1899,,2.2737739086151123,,,,,
5,1949,,1.4562784433364868,,,,,
5,1999,,1.5319232940673828,,,,,
5,2049,,1.1556899547576904,,,,,
5,2099,,0.8572798371315002,,,,,
5,2149,,1.7113584280014038,,,,,
5,2171,,,0.1666666716337204,0.16668276488780975,0.40824830532073975,0.3333655297756195,0.16731534898281097
5,2171,1.474234700202942,,,,,,
6,2199,,1.8813880681991577,,,,,
6,2249,,1.3512388467788696,,,,,
6,2299,,1.0520445108413696,,,,,
6,2349,,1.7341551780700684,,,,,
6,2399,,1.7288416624069214,,,,,
6,2449,,1.381806492805481,,,,,
6,2499,,1.0696001052856445,,,,,
6,2533,,,0.1666666716337204,0.166722372174263,0.40824830532073975,0.333444744348526,0.16724491119384766
6,2533,1.4715831279754639,,,,,,
7,2549,,0.9325712323188782,,,,,
7,2599,,1.2414518594741821,,,,,
7,2649,,1.8469386100769043,,,,,
7,2699,,2.164017677307129,,,,,
7,2749,,1.4115877151489258,,,,,
7,2799,,1.3830184936523438,,,,,
7,2849,,2.1508357524871826,,,,,
7,2895,,,0.1666666716337204,0.16668330132961273,0.40824830532073975,0.33336660265922546,0.16699647903442383
7,2895,1.467686653137207,,,,,,
8,2899,,1.367357611656189,,,,,
8,2949,,1.8654899597167969,,,,,
8,2999,,2.6985204219818115,,,,,
8,3049,,2.1645843982696533,,,,,
8,3099,,0.959373414516449,,,,,
8,3149,,1.553371548652649,,,,,
8,3199,,1.632391095161438,,,,,
8,3249,,1.3221379518508911,,,,,
8,3257,,,0.1666666716337204,0.16671593487262726,0.40824830532073975,0.3334318697452545,0.1666879653930664
8,3257,1.4686336517333984,,,,,,
9,3299,,0.943838894367218,,,,,
9,3349,,1.7421294450759888,,,,,
9,3399,,1.3908699750900269,,,,,
9,3449,,1.6107478141784668,,,,,
9,3499,,0.9389297366142273,,,,,
9,3549,,0.7163795828819275,,,,,
9,3599,,1.5871238708496094,,,,,
9,3619,,,0.1666666716337204,0.1676587462425232,0.40824830532073975,0.33531394600868225,0.16666637361049652
9,3619,1.4664465188980103,,,,,,
